,precision,recall,f1-score,support
0,0.9215686274509803,1.0,0.9591836734693878,47.0
1,0.0,0.0,0.0,4.0
accuracy,0.9215686274509803,0.9215686274509803,0.9215686274509803,0.9215686274509803
macro avg,0.46078431372549017,0.5,0.4795918367346939,51.0
weighted avg,0.8492887351018839,0.9215686274509803,0.8839535814325731,51.0
