,precision,recall,f1-score,support
0,0.94,1.0,0.9690721649484536,47.0
1,1.0,0.25,0.4,4.0
accuracy,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9411764705882353
macro avg,0.97,0.625,0.6845360824742268,51.0
weighted avg,0.9447058823529412,0.9411764705882353,0.9244390539721044,51.0
