,precision,recall,f1-score,support
0,0.8545454545454545,1.0,0.9215686274509803,47.0
1,0.0,0.0,0.0,8.0
accuracy,0.8545454545454545,0.8545454545454545,0.8545454545454545,0.8545454545454545
macro avg,0.42727272727272725,0.5,0.46078431372549017,55.0
weighted avg,0.7302479338842975,0.8545454545454545,0.7875222816399287,55.0
