,precision,recall,f1-score,support
0,0.8703703703703703,1.0,0.9306930693069307,47.0
1,1.0,0.125,0.2222222222222222,8.0
accuracy,0.8727272727272727,0.8727272727272727,0.8727272727272727,0.8727272727272727
macro avg,0.9351851851851851,0.5625,0.5764576457645765,55.0
weighted avg,0.8892255892255891,0.8727272727272727,0.8276427642764277,55.0
